Instructor,Course,Quarter,Total Enrolled in Course,Total CAPEs Given,Percentage Recommended Class,Percentage Recommended Professor,Study Hours per Week,Average Grade Expected,Average Grade Received,Evalulation URL
Rai Tage S,MGT 162 - Negotiations (C),SP23,88,77,93.4%,90.8%,3.74,B+ (3.41),B+ (3.55),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149002
McKay Mary A,MGT 164 - Business and Org Leadership (A),SP23,82,66,81.8%,83.3%,4.59,B (3.25),C+ (2.46),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149003
McKay Mary A,MGT 164 - Business and Org Leadership (B),SP23,87,78,89.7%,80.5%,4.89,B (3.07),C+ (2.67),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149004
Meyer Alison Bloomfield,MGT 164 - Business and Org Leadership (C),SP23,87,68,89.6%,89.6%,3.9,B+ (3.61),B (3.23),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149005
Zimmermann Carsten,MGT 164 - Business and Org Leadership (D),SP23,90,80,91.3%,91.3%,5.94,A- (3.80),B+ (3.49),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149006
Moran Cathleen L.,MGT 166 - Corp Social Responsibility (A),SP23,54,48,60.4%,52.1%,6.5,B- (2.89),B (3.04),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149007
Moran Cathleen L.,MGT 166 - Corp Social Responsibility (B),SP23,77,65,46.2%,52.3%,8.25,B- (2.92),B- (2.76),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149008
Moran Cathleen L.,MGT 166 - Corp Social Responsibility (C),SP23,46,39,71.1%,68.4%,5.34,B (3.05),B- (2.93),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149009
Phiroz Zal Navroze,MGT 171 - Operations Management (A),SP23,83,33,83.3%,90.0%,4.03,B (3.18),B+ (3.42),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149010
Hedges Kathleen,MGT 172 - Business Project Management (A),SP23,118,101,94.9%,94.9%,4.22,A- (3.75),A- (3.76),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149011
Royal Rebecca,MGT 172 - Business Project Management (A),SP23,118,101,94.9%,98.0%,4.22,A- (3.75),A- (3.76),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149011A
Hedges Kathleen,MGT 172 - Business Project Management (B),SP23,87,74,90.5%,97.3%,4.2,A- (3.74),A- (3.72),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149012
Hayes Sherry Lorine,MGT 173 - Project Mgt- Health Services (A),SP23,87,77,94.8%,97.4%,4.82,A- (3.72),B+ (3.43),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149014
Gopal Christopher S.,MGT 175 - Supply Chain Management (A),SP23,78,25,60.9%,52.2%,5.2,B (3.00),B (3.16),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149015
McKay Mary A,MGT 18 - Managing Diverse Teams (D),SP23,9,8,100.0%,100.0%,4.25,B (3.14),,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148961
Chamberlain Travis Dean,MGT 18 - Managing Diverse Teams (E),SP23,82,75,90.7%,96.0%,4.12,B+ (3.59),B+ (3.35),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148962
Bliss Barbara Ann,MGT 180 - Business Finance (A),SP23,155,130,92.3%,98.5%,6.27,B+ (3.67),B (3.22),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=179512
Buchanan Harold G,MGT 181 - Enterprise Finance (A),SP23,146,135,88.9%,89.6%,5.32,B+ (3.46),B+ (3.37),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149016
Banerjee Snehal,MGT 183 - Financial Investments (A),SP23,85,27,80.8%,92.3%,7.22,B+ (3.46),B+ (3.31),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149018
Dunn Louis Jean,MGT 185 - Investment Banking (A),SP23,58,20,94.7%,94.7%,9.28,B+ (3.59),B+ (3.39),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149019
Dunn Louis Jean,MGT 187 - New Venture Finance (A),SP23,91,29,85.2%,92.6%,4.2,B+ (3.65),B (3.28),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149020
Avenancio-Leon Carlos,MGT 189 - Topics in Finance (A),SP23,33,22,86.4%,90.9%,4.31,B+ (3.37),B+ (3.51),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=179460
Wagner Timothy Ryan,MGT 3 - Quant Methods in Business (A),SP23,52,14,83.3%,91.7%,6.33,B (3.00),C+ (2.53),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148947
Levkoff Steven B.,MGT 4 - Financial Accounting (A),SP23,9,3,66.7%,66.7%,5.83,B+ (3.50),,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148949
Pecore Joseph P.,MGT 45 - Principles of Accounting (B),SP23,143,48,93.2%,97.7%,6.68,B (3.27),B- (2.97),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148963
Pecore Joseph P.,MGT 45 - Principles of Accounting (C),SP23,132,44,95.3%,100.0%,6.36,B+ (3.47),B- (2.96),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148964
Houskeeper Robert,MGT 5 - Managerial Accounting (A),SP23,168,129,77.2%,73.2%,4.74,B (3.06),C+ (2.38),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148951
Deal Jennifer Jean,MGT 52 - Test & Measurement at Work (A),SP23,86,69,76.5%,80.6%,3.79,B+ (3.53),B+ (3.40),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148965
Phiroz Zal Navroze,MGT 71 - Business & Operations Mgt (A),SP23,115,37,67.6%,91.7%,5.99,B+ (3.53),A- (3.71),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148966
Yavorsky Daniel Ryan,MGT 100 - Customer Analytics (A),WI23,122,108,97.2%,100.0%,6.33,A- (3.71),B+ (3.58),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106139
Ehrich Kristine R,MGT 103 - Product Marketing & Management (A),WI23,86,36,81.8%,84.8%,4.74,B+ (3.48),B- (2.74),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106140
Ehrich Kristine R,MGT 103 - Product Marketing & Management (B),WI23,85,27,91.7%,91.7%,3.75,B (3.25),B- (2.98),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106141
Eberhard Craig A,MGT 103 - Product Marketing & Management (C),WI23,7,5,100.0%,80.0%,2.9,A- (3.80),,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106142
Eberhard Craig A,MGT 103 - Product Marketing & Management (D),WI23,20,16,100.0%,100.0%,3.75,A- (3.75),B+ (3.42),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106143
Eberhard Craig A,MGT 103 - Product Marketing & Management (E),WI23,63,51,98.0%,96.1%,3.64,B+ (3.65),B (3.26),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106144
Bates Kenneth Walter,MGT 103 - Product Marketing & Management (F),WI23,84,79,96.2%,97.5%,4.04,B+ (3.37),B (3.04),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106145
Bates Kenneth Walter,MGT 103 - Product Marketing & Management (G),WI23,83,69,98.6%,100.0%,4.44,B+ (3.42),B- (2.99),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106146
Demill Burritt,MGT 103 - Product Marketing & Management (H),WI23,88,82,98.8%,98.8%,4.62,B+ (3.56),B+ (3.48),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106147
Gershon Rachel M,MGT 107 - Consumer Behavior (A),WI23,89,33,96.9%,93.8%,4.44,A- (3.91),A- (3.75),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106148
Gershon Rachel M,MGT 107 - Consumer Behavior (B),WI23,90,34,100.0%,100.0%,3.56,B+ (3.69),A- (3.74),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106149
Somasundaram Tyagarajan,MGT 112 - Global Business Strategy (A),WI23,73,65,72.3%,70.8%,5.95,B+ (3.48),B (3.28),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106151
Somasundaram Tyagarajan,MGT 112 - Global Business Strategy (B),WI23,72,68,79.4%,72.1%,7.0,B+ (3.35),B (3.16),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106152
Ehrich Kristine R,MGT 112 - Global Business Strategy (C),WI23,35,28,100.0%,100.0%,5.64,B+ (3.68),B+ (3.54),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106153
Marechal Michel Andre,MGT 112 - Global Business Strategy (D),WI23,7,3,100.0%,100.0%,7.83,B+ (3.33),,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106154
Marechal Michel Andre,MGT 112 - Global Business Strategy (E),WI23,10,7,100.0%,100.0%,6.5,A- (3.86),,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106155
Marechal Michel Andre,MGT 112 - Global Business Strategy (F),WI23,5,4,100.0%,100.0%,3.0,B (3.25),,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106156
Felke Magnus Roland,MGT 119 - Topics in Business (A),WI23,40,39,94.7%,97.4%,4.03,B+ (3.42),B+ (3.59),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106157
Pecore Joseph P.,MGT 12 - Personal Financial Management (A),WI23,88,33,96.8%,96.8%,2.63,A- (3.76),B+ (3.41),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106124
Pecore Joseph P.,MGT 12 - Personal Financial Management (B),WI23,91,25,96.0%,100.0%,2.75,B+ (3.55),B+ (3.54),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106125
Klaas Jeffrey David,MGT 121A - Innovation to Market A (A),WI23,80,73,93.2%,91.8%,4.31,B+ (3.68),B (3.27),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106158
Zhu Kevin Xiaoguo,MGT 127 - Innovation and Tech Strategy (A),WI23,83,78,75.6%,80.8%,4.19,B+ (3.60),B+ (3.63),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106159
Houskeeper Robert,MGT 131A - Intermediate Accounting A (A),WI23,67,50,82.0%,74.0%,6.46,B (3.17),C+ (2.35),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106160
Houskeeper Robert,MGT 131B - Intermediate Accounting B (A),WI23,44,27,96.3%,88.9%,5.65,B+ (3.65),B- (2.92),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106161
Anderson John Charles,MGT 135 - Federal Taxation-Companies (A),WI23,28,25,92.0%,100.0%,6.1,B+ (3.44),B (3.21),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106162
Lindenberger Wade Douglas,MGT 136 - Advanced Accounting (A),WI23,55,55,98.2%,98.2%,5.37,B+ (3.65),B+ (3.69),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106163
Floyd Eric,MGT 137 - Financial Statement Analysis (A),WI23,70,21,95.2%,95.2%,5.36,A- (3.76),A- (3.74),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106164
Deiotte James T.,MGT 148 - Mergers and Acquisitions (A),WI23,45,36,100.0%,97.2%,4.61,A- (3.80),A- (3.82),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106165
Perols Johan Lars,MGT 153 - Business Analytics (A),WI23,76,20,90.0%,100.0%,8.5,B (3.28),B (3.17),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106166
Phiroz Zal Navroze,MGT 153 - Business Analytics (B),WI23,86,34,88.2%,91.2%,4.5,A- (3.81),A- (3.73),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106167
Campbell Robert Harold,MGT 16 - Personal Ethics at Work (A),WI23,108,38,94.6%,94.6%,4.44,A- (3.78),B (3.09),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106126
Campbell Robert Harold,MGT 16 - Personal Ethics at Work (B),WI23,109,43,100.0%,95.1%,3.87,B+ (3.68),B (3.20),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106127
Campbell Robert Harold,MGT 16 - Personal Ethics at Work (C),WI23,117,56,81.8%,87.3%,3.86,B+ (3.67),B- (2.95),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106128
Buchanan Harold G,MGT 16 - Personal Ethics at Work (D),WI23,93,77,94.8%,93.5%,3.77,B+ (3.55),B+ (3.36),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106129
Buchanan Harold G,MGT 16 - Personal Ethics at Work (E),WI23,98,95,97.9%,97.9%,3.41,B+ (3.65),B+ (3.53),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106130
Lindenberger Wade Douglas,MGT 16 - Personal Ethics at Work (F),WI23,90,79,98.7%,100.0%,4.53,A- (3.95),A- (3.84),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106131
Samek Anya,MGT 160 - Experiments in Firms (A),WI23,91,33,96.8%,93.5%,4.44,A- (3.77),B+ (3.56),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106168
Samek Anya,MGT 160 - Experiments in Firms (B),WI23,101,23,90.5%,90.5%,4.21,A- (3.71),B+ (3.39),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106169
Demill Burritt,MGT 162 - Negotiations (A),WI23,84,69,95.6%,100.0%,3.31,A- (3.82),B+ (3.57),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106170
Gneezy Uri,MGT 162R - Negotiations (A),WI23,197,61,100.0%,96.7%,3.4,A- (3.92),B+ (3.70),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106171
McKay Mary A,MGT 164 - Business and Org Leadership (A),WI23,63,20,76.5%,70.6%,6.28,B- (2.94),C+ (2.44),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106175
McKay Mary A,MGT 164 - Business and Org Leadership (B),WI23,82,27,72.0%,76.0%,6.42,B+ (3.32),B- (2.70),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106176
Meyer Alison Bloomfield,MGT 164 - Business and Org Leadership (C),WI23,86,69,91.3%,94.2%,4.88,A- (3.79),B+ (3.52),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106177
Zimmermann Carsten,MGT 164 - Business and Org Leadership (D),WI23,89,73,95.8%,95.8%,5.46,B+ (3.65),B+ (3.47),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=116490
Moran Cathleen L.,MGT 166 - Corp Social Responsibility (A),WI23,68,51,74.0%,72.0%,5.85,B- (2.98),B- (2.88),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106178
Moran Cathleen L.,MGT 166 - Corp Social Responsibility (B),WI23,61,46,65.2%,71.7%,5.67,B (3.20),B- (2.88),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106179
Moran Cathleen L.,MGT 166 - Corp Social Responsibility (C),WI23,31,24,82.6%,78.3%,5.02,B (3.27),B (3.14),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106180
Jacob Jo Dee C,MGT 167 - Social Entrepreneurship (A),WI23,86,56,96.4%,100.0%,3.71,A- (3.88),B+ (3.49),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106182
Phiroz Zal Navroze,MGT 171 - Operations Management (A),WI23,77,26,84.0%,95.8%,3.08,A- (3.78),B+ (3.60),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106183
Hedges Kathleen,MGT 172 - Business Project Management (A),WI23,97,89,93.2%,98.9%,4.09,B+ (3.60),B+ (3.57),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106184
Royal Rebecca,MGT 172 - Business Project Management (A),WI23,97,89,93.2%,98.9%,4.09,B+ (3.60),B+ (3.57),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106184A
Hedges Kathleen,MGT 172 - Business Project Management (B),WI23,88,81,95.1%,97.5%,4.68,B+ (3.63),A- (3.74),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106185
Zimmermann Carsten,MGT 172 - Business Project Management (C),WI23,72,44,88.4%,88.4%,3.36,B+ (3.65),B+ (3.56),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106186
Hayes Sherry Lorine,MGT 173 - Project Mgt- Health Services (A),WI23,84,73,97.3%,100.0%,4.78,A- (3.78),B+ (3.56),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106187
Hayes Sherry Lorine,MGT 173 - Project Mgt- Health Services (B),WI23,87,78,92.3%,96.2%,4.76,A- (3.88),B+ (3.61),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106188
Gopal Christopher S.,MGT 175 - Supply Chain Management (A),WI23,78,27,80.0%,84.0%,4.1,B+ (3.54),B (3.18),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106189
Gopal Christopher S.,MGT 176 - Strategic Cost Management (A),WI23,56,14,100.0%,100.0%,4.81,B+ (3.54),B+ (3.48),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=116491
McKay Michael J,MGT 18 - Managing Diverse Teams (A),WI23,84,26,76.2%,85.0%,3.5,B+ (3.53),B- (2.94),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106132
McKay Michael J,MGT 18 - Managing Diverse Teams (B),WI23,83,34,91.2%,97.1%,3.09,B+ (3.63),B (3.06),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106133
McKay Michael J,MGT 18 - Managing Diverse Teams (C),WI23,86,32,90.6%,87.5%,3.38,A- (3.71),B (3.25),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106134
McKay Mary A,MGT 18 - Managing Diverse Teams (D),WI23,38,12,83.3%,81.8%,5.33,B (3.27),C+ (2.59),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106135
Chamberlain Travis Dean,MGT 18 - Managing Diverse Teams (E),WI23,90,86,95.3%,100.0%,4.1,B+ (3.61),B+ (3.52),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=116489
Engelberg Joseph Edward,MGT 180 - Business Finance (A),WI23,150,63,96.7%,100.0%,6.95,B+ (3.59),B+ (3.33),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106190
Engelberg Joseph Edward,MGT 180 - Business Finance (B),WI23,149,40,100.0%,97.4%,6.65,B+ (3.67),B+ (3.32),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106191
Buchanan Harold G,MGT 181 - Enterprise Finance (A),WI23,110,99,89.9%,87.9%,5.41,B+ (3.37),B (3.13),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106192
Bliss Barbara Ann,MGT 181 - Enterprise Finance (B),WI23,93,78,96.2%,96.2%,5.5,B+ (3.46),B (3.25),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106193
Parashar Sat P,MGT 184 - Money and Banking (A),WI23,83,77,96.1%,94.8%,4.16,A- (3.89),A- (3.94),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106194
Dunn Louis Jean,MGT 187 - New Venture Finance (A),WI23,67,27,92.6%,88.5%,4.81,B+ (3.67),B+ (3.32),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106195
Dunn Louis Jean,MGT 187 - New Venture Finance (B),WI23,86,19,94.4%,88.9%,5.83,A- (3.71),B (3.19),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106196
Reher Michael Christopher,MGT 189 - Topics in Finance (A),WI23,18,6,100.0%,100.0%,5.5,A (4.00),,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106197
Wagner Timothy Ryan,MGT 3 - Quant Methods in Business (B),WI23,56,17,80.0%,86.7%,5.17,C+ (2.64),B- (2.81),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=154866
Pecore Joseph P.,MGT 45 - Principles of Accounting (A),WI23,139,49,100.0%,97.9%,6.29,B+ (3.47),B (3.08),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106136
Floyd Eric,MGT 45 - Principles of Accounting (B),WI23,81,24,87.5%,95.7%,4.08,B+ (3.67),B+ (3.52),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106137
Houskeeper Robert,MGT 5 - Managerial Accounting (A),WI23,164,113,69.6%,67.0%,5.91,B- (2.98),C+ (2.43),https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106123
