Instructor,Last Name,First Name,Course,Quarter,Year,Total Enrolled in Course,Total CAPEs Given,Percentage Recommended Class,% Recommend Class,Percentage Recommended Professor,% Recommend Instructor,Study Hours per Week,Average Grade Expected,GPA Expected,Average Grade Received,GPA Received,Evalulation URL
Ehrich Kristine R,Ehrich,Kristine,MGT 112 - Global Business Strategy (C),SP23,2023,65,62,0.951,95.1,0.934,93.4,5.35,B+ (3.60),3.6,B+ (3.42),3.42,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148981
Zimmermann Carsten,Zimmermann,Carsten,MGT 112 - Global Business Strategy (D),SP23,2023,67,54,0.926,92.6,0.981,98.1,4.43,A- (3.80),3.8,A- (3.72),3.72,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=179503
Mc Kenzie Craig R.M.,Mc,Kenzie,MGT 119 - Topics in Business (A),SP23,2023,45,22,1,100,1,100,4.31,B+ (3.67),3.67,B (3.08),3.08,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148984
Anderson Jon Marcus,Anderson,Jon,MGT 119 - Topics in Business (B),SP23,2023,78,40,1,100,1,100,3.12,A- (3.98),3.98,A- (3.99),3.99,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148985
Davis Kathleen Ann,Davis,Kathleen,MGT 119 - Topics in Business (C),SP23,2023,48,12,0.7,70,0.8,80,3.9,A- (3.80),3.8,B+ (3.59),3.59,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148986
Lindenberger Wade Douglas,Lindenberger,Wade,MGT 12 - Personal Financial Management (A),SP23,2023,96,87,1,100,1,100,3.53,A- (3.75),3.75,A- (3.83),3.83,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148952
Lindenberger Wade Douglas,Lindenberger,Wade,MGT 12 - Personal Financial Management (B),SP23,2023,96,78,1,100,0.987,98.7,3.04,A- (3.78),3.78,A- (3.81),3.81,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148953
Klaas Jeffrey David,Klaas,Jeffrey,MGT 121A - Innovation to Market A (A),SP23,2023,88,74,0.932,93.2,0.919,91.9,4.26,B+ (3.61),3.61,B+ (3.49),3.49,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=179508
Klaas Jeffrey David,Klaas,Jeffrey,MGT 121B - Innovation to Market B (A),SP23,2023,57,53,0.962,96.2,1,100,4.84,B+ (3.65),3.65,B+ (3.51),3.51,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148987
Krishnan Viswanathan,Krishnan,Viswanathan,MGT 128R - Business Innovation & Growth (A),SP23,2023,84,82,0.878,87.8,0.902,90.2,3.91,B+ (3.51),3.51,B+ (3.43),3.43,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148988
Houskeeper Robert,Houskeeper,Robert,MGT 131A - Intermediate Accounting A (A),SP23,2023,37,30,0.733,73.3,0.733,73.3,6.23,B (3.00),3,C+ (2.63),2.63,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148989
Houskeeper Robert,Houskeeper,Robert,MGT 131B - Intermediate Accounting B (A),SP23,2023,37,28,0.821,82.1,0.75,75,5.43,B (3.29),3.29,B+ (3.38),3.38,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148990
Blakley Bruce,Blakley,Bruce,MGT 132 - Auditing (A),SP23,2023,38,14,0.462,46.2,0.583,58.3,6.5,B (3.00),3,B (3.14),3.14,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148991
Pecore Joseph P.,Pecore,Joseph,MGT 133 - Advanced Cost Accounting (A),SP23,2023,24,12,0.818,81.8,0.9,90,3.95,A- (3.86),3.86,B+ (3.52),3.52,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148992
Lindenberger Wade Douglas,Lindenberger,Wade,MGT 136 - Advanced Accounting (A),SP23,2023,25,25,1,100,1,100,6.9,B+ (3.60),3.6,B+ (3.68),3.68,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148993
Anderson John Charles,Anderson,John,MGT 147 - Not-for-profit & Govt Acct (A),SP23,2023,27,23,0.957,95.7,1,100,5.05,B (3.27),3.27,B+ (3.54),3.54,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148994
Perols Johan Lars,Perols,Johan,MGT 153 - Business Analytics (A),SP23,2023,80,27,0.917,91.7,0.917,91.7,7.5,B (3.29),3.29,B (3.19),3.19,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148995
Phiroz Zal Navroze,Phiroz,Zal,MGT 153 - Business Analytics (B),SP23,2023,83,33,0.967,96.7,0.967,96.7,5.88,B+ (3.67),3.67,B+ (3.66),3.66,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148996
Bliss Barbara Ann,Bliss,Barbara,MGT 158 - Real Estate & the Tech Sector (A),SP23,2023,78,70,0.957,95.7,1,100,4.47,B+ (3.69),3.69,B+ (3.60),3.6,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148997
Campbell Robert Harold,Campbell,Robert,MGT 16 - Personal Ethics at Work (A),SP23,2023,112,45,0.951,95.1,0.927,92.7,4.12,B+ (3.46),3.46,B- (2.84),2.84,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148954
Campbell Robert Harold,Campbell,Robert,MGT 16 - Personal Ethics at Work (B),SP23,2023,107,44,0.976,97.6,0.976,97.6,3.82,B+ (3.60),3.6,B- (2.94),2.94,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148955
Buchanan Harold G,Buchanan,Harold,MGT 16 - Personal Ethics at Work (C),SP23,2023,92,87,0.977,97.7,0.943,94.3,3.53,B+ (3.52),3.52,B+ (3.30),3.3,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148956
Buchanan Harold G,Buchanan,Harold,MGT 16 - Personal Ethics at Work (D),SP23,2023,96,91,0.934,93.4,0.945,94.5,3.57,B+ (3.60),3.6,B+ (3.62),3.62,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148957
Sadoff Sally,Sadoff,Sally,MGT 160 - Experiments in Firms (A),SP23,2023,92,33,0.862,86.2,0.931,93.1,6.43,A- (3.79),3.79,A- (3.74),3.74,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148998
Sadoff Sally,Sadoff,Sally,MGT 160 - Experiments in Firms (B),SP23,2023,93,35,0.848,84.8,0.97,97,6.14,A- (3.84),3.84,A- (3.77),3.77,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148999
Demill Burritt,Demill,Burritt,MGT 162 - Negotiations (A),SP23,2023,86,68,1,100,1,100,3.79,A- (3.77),3.77,B+ (3.62),3.62,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149000
Rai Tage S,Rai,Tage,MGT 162 - Negotiations (B),SP23,2023,85,65,0.938,93.8,0.923,92.3,3.3,B+ (3.39),3.39,B+ (3.52),3.52,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149001
Rai Tage S,Rai,Tage,MGT 162 - Negotiations (C),SP23,2023,88,77,0.934,93.4,0.908,90.8,3.74,B+ (3.41),3.41,B+ (3.55),3.55,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149002
McKay Mary A,McKay,Mary,MGT 164 - Business and Org Leadership (A),SP23,2023,82,66,0.818,81.8,0.833,83.3,4.59,B (3.25),3.25,C+ (2.46),2.46,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149003
McKay Mary A,McKay,Mary,MGT 164 - Business and Org Leadership (B),SP23,2023,87,78,0.897,89.7,0.805,80.5,4.89,B (3.07),3.07,C+ (2.67),2.67,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149004
Meyer Alison Bloomfield,Meyer,Alison,MGT 164 - Business and Org Leadership (C),SP23,2023,87,68,0.896,89.6,0.896,89.6,3.9,B+ (3.61),3.61,B (3.23),3.23,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149005
Zimmermann Carsten,Zimmermann,Carsten,MGT 164 - Business and Org Leadership (D),SP23,2023,90,80,0.913,91.3,0.913,91.3,5.94,A- (3.80),3.8,B+ (3.49),3.49,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149006
Moran Cathleen L.,Moran,Cathleen,MGT 166 - Corp Social Responsibility (A),SP23,2023,54,48,0.604,60.4,0.521,52.1,6.5,B- (2.89),2.89,B (3.04),3.04,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149007
Moran Cathleen L.,Moran,Cathleen,MGT 166 - Corp Social Responsibility (B),SP23,2023,77,65,0.462,46.2,0.523,52.3,8.25,B- (2.92),2.92,B- (2.76),2.76,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149008
Moran Cathleen L.,Moran,Cathleen,MGT 166 - Corp Social Responsibility (C),SP23,2023,46,39,0.711,71.1,0.684,68.4,5.34,B (3.05),3.05,B- (2.93),2.93,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149009
Phiroz Zal Navroze,Phiroz,Zal,MGT 171 - Operations Management (A),SP23,2023,83,33,0.833,83.3,0.9,90,4.03,B (3.18),3.18,B+ (3.42),3.42,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149010
Hedges Kathleen,Hedges,Kathleen,MGT 172 - Business Project Management (A),SP23,2023,118,101,0.949,94.9,0.949,94.9,4.22,A- (3.75),3.75,A- (3.76),3.76,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149011
Royal Rebecca,Royal,Rebecca,MGT 172 - Business Project Management (A),SP23,2023,118,101,0.949,94.9,0.98,98,4.22,A- (3.75),3.75,A- (3.76),3.76,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149011A
Hedges Kathleen,Hedges,Kathleen,MGT 172 - Business Project Management (B),SP23,2023,87,74,0.905,90.5,0.973,97.3,4.2,A- (3.74),3.74,A- (3.72),3.72,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149012
Hayes Sherry Lorine,Hayes,Sherry,MGT 173 - Project Mgt- Health Services (A),SP23,2023,87,77,0.948,94.8,0.974,97.4,4.82,A- (3.72),3.72,B+ (3.43),3.43,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149014
Gopal Christopher S.,Gopal,Christopher,MGT 175 - Supply Chain Management (A),SP23,2023,78,25,0.609,60.9,0.522,52.2,5.2,B (3.00),3,B (3.16),3.16,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149015
McKay Mary A,McKay,Mary,MGT 18 - Managing Diverse Teams (D),SP23,2023,9,8,1,100,1,100,4.25,B (3.14),3.14,,,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148961
Chamberlain Travis Dean,Chamberlain,Travis,MGT 18 - Managing Diverse Teams (E),SP23,2023,82,75,0.907,90.7,0.96,96,4.12,B+ (3.59),3.59,B+ (3.35),3.35,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148962
Bliss Barbara Ann,Bliss,Barbara,MGT 180 - Business Finance (A),SP23,2023,155,130,0.923,92.3,0.985,98.5,6.27,B+ (3.67),3.67,B (3.22),3.22,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=179512
Buchanan Harold G,Buchanan,Harold,MGT 181 - Enterprise Finance (A),SP23,2023,146,135,0.889,88.9,0.896,89.6,5.32,B+ (3.46),3.46,B+ (3.37),3.37,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149016
Banerjee Snehal,Banerjee,Snehal,MGT 183 - Financial Investments (A),SP23,2023,85,27,0.808,80.8,0.923,92.3,7.22,B+ (3.46),3.46,B+ (3.31),3.31,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149018
Dunn Louis Jean,Dunn,Louis,MGT 185 - Investment Banking (A),SP23,2023,58,20,0.947,94.7,0.947,94.7,9.28,B+ (3.59),3.59,B+ (3.39),3.39,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149019
Dunn Louis Jean,Dunn,Louis,MGT 187 - New Venture Finance (A),SP23,2023,91,29,0.852,85.2,0.926,92.6,4.2,B+ (3.65),3.65,B (3.28),3.28,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=149020
Avenancio-Leon Carlos,Avenancio,,MGT 189 - Topics in Finance (A),SP23,2023,33,22,0.864,86.4,0.909,90.9,4.31,B+ (3.37),3.37,B+ (3.51),3.51,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=179460
Wagner Timothy Ryan,Wagner,Timothy,MGT 3 - Quant Methods in Business (A),SP23,2023,52,14,0.833,83.3,0.917,91.7,6.33,B (3.00),3,C+ (2.53),2.53,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148947
Levkoff Steven B.,Levkoff,Steven,MGT 4 - Financial Accounting (A),SP23,2023,9,3,0.667,66.7,0.667,66.7,5.83,B+ (3.50),3.5,,,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148949
Pecore Joseph P.,Pecore,Joseph,MGT 45 - Principles of Accounting (B),SP23,2023,143,48,0.932,93.2,0.977,97.7,6.68,B (3.27),3.27,B- (2.97),2.97,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148963
Pecore Joseph P.,Pecore,Joseph,MGT 45 - Principles of Accounting (C),SP23,2023,132,44,0.953,95.3,1,100,6.36,B+ (3.47),3.47,B- (2.96),2.96,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148964
Houskeeper Robert,Houskeeper,Robert,MGT 5 - Managerial Accounting (A),SP23,2023,168,129,0.772,77.2,0.732,73.2,4.74,B (3.06),3.06,C+ (2.38),2.38,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148951
Deal Jennifer Jean,Deal,Jennifer,MGT 52 - Test & Measurement at Work (A),SP23,2023,86,69,0.765,76.5,0.806,80.6,3.79,B+ (3.53),3.53,B+ (3.40),3.4,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148965
Phiroz Zal Navroze,Phiroz,Zal,MGT 71 - Business & Operations Mgt (A),SP23,2023,115,37,0.676,67.6,0.917,91.7,5.99,B+ (3.53),3.53,A- (3.71),3.71,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=148966
Yavorsky Daniel Ryan,Yavorsky,Daniel,MGT 100 - Customer Analytics (A),WI23,2023,122,108,0.972,97.2,1,100,6.33,A- (3.71),3.71,B+ (3.58),3.58,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106139
Ehrich Kristine R,Ehrich,Kristine,MGT 103 - Product Marketing & Management (A),WI23,2023,86,36,0.818,81.8,0.848,84.8,4.74,B+ (3.48),3.48,B- (2.74),2.74,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106140
Ehrich Kristine R,Ehrich,Kristine,MGT 103 - Product Marketing & Management (B),WI23,2023,85,27,0.917,91.7,0.917,91.7,3.75,B (3.25),3.25,B- (2.98),2.98,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106141
Eberhard Craig A,Eberhard,Craig,MGT 103 - Product Marketing & Management (C),WI23,2023,7,5,1,100,0.8,80,2.9,A- (3.80),3.8,,,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106142
Eberhard Craig A,Eberhard,Craig,MGT 103 - Product Marketing & Management (D),WI23,2023,20,16,1,100,1,100,3.75,A- (3.75),3.75,B+ (3.42),3.42,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106143
Eberhard Craig A,Eberhard,Craig,MGT 103 - Product Marketing & Management (E),WI23,2023,63,51,0.98,98,0.961,96.1,3.64,B+ (3.65),3.65,B (3.26),3.26,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106144
Bates Kenneth Walter,Bates,Kenneth,MGT 103 - Product Marketing & Management (F),WI23,2023,84,79,0.962,96.2,0.975,97.5,4.04,B+ (3.37),3.37,B (3.04),3.04,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106145
Bates Kenneth Walter,Bates,Kenneth,MGT 103 - Product Marketing & Management (G),WI23,2023,83,69,0.986,98.6,1,100,4.44,B+ (3.42),3.42,B- (2.99),2.99,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106146
Demill Burritt,Demill,Burritt,MGT 103 - Product Marketing & Management (H),WI23,2023,88,82,0.988,98.8,0.988,98.8,4.62,B+ (3.56),3.56,B+ (3.48),3.48,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106147
Gershon Rachel M,Gershon,Rachel,MGT 107 - Consumer Behavior (A),WI23,2023,89,33,0.969,96.9,0.938,93.8,4.44,A- (3.91),3.91,A- (3.75),3.75,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106148
Gershon Rachel M,Gershon,Rachel,MGT 107 - Consumer Behavior (B),WI23,2023,90,34,1,100,1,100,3.56,B+ (3.69),3.69,A- (3.74),3.74,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106149
Somasundaram Tyagarajan,Somasundaram,Tyagarajan,MGT 112 - Global Business Strategy (A),WI23,2023,73,65,0.723,72.3,0.708,70.8,5.95,B+ (3.48),3.48,B (3.28),3.28,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106151
Somasundaram Tyagarajan,Somasundaram,Tyagarajan,MGT 112 - Global Business Strategy (B),WI23,2023,72,68,0.794,79.4,0.721,72.1,7,B+ (3.35),3.35,B (3.16),3.16,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106152
Ehrich Kristine R,Ehrich,Kristine,MGT 112 - Global Business Strategy (C),WI23,2023,35,28,1,100,1,100,5.64,B+ (3.68),3.68,B+ (3.54),3.54,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106153
Marechal Michel Andre,Marechal,Michel,MGT 112 - Global Business Strategy (D),WI23,2023,7,3,1,100,1,100,7.83,B+ (3.33),3.33,,,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106154
Marechal Michel Andre,Marechal,Michel,MGT 112 - Global Business Strategy (E),WI23,2023,10,7,1,100,1,100,6.5,A- (3.86),3.86,,,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106155
Marechal Michel Andre,Marechal,Michel,MGT 112 - Global Business Strategy (F),WI23,2023,5,4,1,100,1,100,3,B (3.25),3.25,,,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106156
Felke Magnus Roland,Felke,Magnus,MGT 119 - Topics in Business (A),WI23,2023,40,39,0.947,94.7,0.974,97.4,4.03,B+ (3.42),3.42,B+ (3.59),3.59,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106157
Pecore Joseph P.,Pecore,Joseph,MGT 12 - Personal Financial Management (A),WI23,2023,88,33,0.968,96.8,0.968,96.8,2.63,A- (3.76),3.76,B+ (3.41),3.41,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106124
Pecore Joseph P.,Pecore,Joseph,MGT 12 - Personal Financial Management (B),WI23,2023,91,25,0.96,96,1,100,2.75,B+ (3.55),3.55,B+ (3.54),3.54,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106125
Klaas Jeffrey David,Klaas,Jeffrey,MGT 121A - Innovation to Market A (A),WI23,2023,80,73,0.932,93.2,0.918,91.8,4.31,B+ (3.68),3.68,B (3.27),3.27,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106158
Zhu Kevin Xiaoguo,Zhu,Kevin,MGT 127 - Innovation and Tech Strategy (A),WI23,2023,83,78,0.756,75.6,0.808,80.8,4.19,B+ (3.60),3.6,B+ (3.63),3.63,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106159
Houskeeper Robert,Houskeeper,Robert,MGT 131A - Intermediate Accounting A (A),WI23,2023,67,50,0.82,82,0.74,74,6.46,B (3.17),3.17,C+ (2.35),2.35,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106160
Houskeeper Robert,Houskeeper,Robert,MGT 131B - Intermediate Accounting B (A),WI23,2023,44,27,0.963,96.3,0.889,88.9,5.65,B+ (3.65),3.65,B- (2.92),2.92,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106161
Anderson John Charles,Anderson,John,MGT 135 - Federal Taxation-Companies (A),WI23,2023,28,25,0.92,92,1,100,6.1,B+ (3.44),3.44,B (3.21),3.21,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106162
Lindenberger Wade Douglas,Lindenberger,Wade,MGT 136 - Advanced Accounting (A),WI23,2023,55,55,0.982,98.2,0.982,98.2,5.37,B+ (3.65),3.65,B+ (3.69),3.69,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106163
Floyd Eric,Floyd,Eric,MGT 137 - Financial Statement Analysis (A),WI23,2023,70,21,0.952,95.2,0.952,95.2,5.36,A- (3.76),3.76,A- (3.74),3.74,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106164
Deiotte James T.,Deiotte,James,MGT 148 - Mergers and Acquisitions (A),WI23,2023,45,36,1,100,0.972,97.2,4.61,A- (3.80),3.8,A- (3.82),3.82,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106165
Perols Johan Lars,Perols,Johan,MGT 153 - Business Analytics (A),WI23,2023,76,20,0.9,90,1,100,8.5,B (3.28),3.28,B (3.17),3.17,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106166
Phiroz Zal Navroze,Phiroz,Zal,MGT 153 - Business Analytics (B),WI23,2023,86,34,0.882,88.2,0.912,91.2,4.5,A- (3.81),3.81,A- (3.73),3.73,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106167
Campbell Robert Harold,Campbell,Robert,MGT 16 - Personal Ethics at Work (A),WI23,2023,108,38,0.946,94.6,0.946,94.6,4.44,A- (3.78),3.78,B (3.09),3.09,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106126
Campbell Robert Harold,Campbell,Robert,MGT 16 - Personal Ethics at Work (B),WI23,2023,109,43,1,100,0.951,95.1,3.87,B+ (3.68),3.68,B (3.20),3.2,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106127
Campbell Robert Harold,Campbell,Robert,MGT 16 - Personal Ethics at Work (C),WI23,2023,117,56,0.818,81.8,0.873,87.3,3.86,B+ (3.67),3.67,B- (2.95),2.95,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106128
Buchanan Harold G,Buchanan,Harold,MGT 16 - Personal Ethics at Work (D),WI23,2023,93,77,0.948,94.8,0.935,93.5,3.77,B+ (3.55),3.55,B+ (3.36),3.36,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106129
Buchanan Harold G,Buchanan,Harold,MGT 16 - Personal Ethics at Work (E),WI23,2023,98,95,0.979,97.9,0.979,97.9,3.41,B+ (3.65),3.65,B+ (3.53),3.53,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106130
Lindenberger Wade Douglas,Lindenberger,Wade,MGT 16 - Personal Ethics at Work (F),WI23,2023,90,79,0.987,98.7,1,100,4.53,A- (3.95),3.95,A- (3.84),3.84,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106131
Samek Anya,Samek,Anya,MGT 160 - Experiments in Firms (A),WI23,2023,91,33,0.968,96.8,0.935,93.5,4.44,A- (3.77),3.77,B+ (3.56),3.56,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106168
Samek Anya,Samek,Anya,MGT 160 - Experiments in Firms (B),WI23,2023,101,23,0.905,90.5,0.905,90.5,4.21,A- (3.71),3.71,B+ (3.39),3.39,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106169
Demill Burritt,Demill,Burritt,MGT 162 - Negotiations (A),WI23,2023,84,69,0.956,95.6,1,100,3.31,A- (3.82),3.82,B+ (3.57),3.57,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106170
Gneezy Uri,Gneezy,Uri,MGT 162R - Negotiations (A),WI23,2023,197,61,1,100,0.967,96.7,3.4,A- (3.92),3.92,B+ (3.70),3.7,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106171
McKay Mary A,McKay,Mary,MGT 164 - Business and Org Leadership (A),WI23,2023,63,20,0.765,76.5,0.706,70.6,6.28,B- (2.94),2.94,C+ (2.44),2.44,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106175
McKay Mary A,McKay,Mary,MGT 164 - Business and Org Leadership (B),WI23,2023,82,27,0.72,72,0.76,76,6.42,B+ (3.32),3.32,B- (2.70),2.7,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106176
Meyer Alison Bloomfield,Meyer,Alison,MGT 164 - Business and Org Leadership (C),WI23,2023,86,69,0.913,91.3,0.942,94.2,4.88,A- (3.79),3.79,B+ (3.52),3.52,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=106177
Zimmermann Carsten,Zimmermann,Carsten,MGT 164 - Business and Org Leadership (D),WI23,2023,89,73,0.958,95.8,0.958,95.8,5.46,B+ (3.65),3.65,B+ (3.47),3.47,https://cape.ucsd.edu/CAPEReport.aspx?sectionid=116490
